epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.614,1.2206,3.33006,1.4827,0.00457,1,0.25254,0.13035,0.89162,3.79311,1.49305,5.716e-05,5.716e-05,5.716e-05
2,219.063,0.98204,2.95958,1.36902,0.00467,1,0.53421,0.33129,0.80219,3.73999,1.37068,0.000126738,0.000126738,0.000126738
3,303.598,1.11021,2.5409,1.42546,0.00505,1,0.54049,0.34044,0.79587,3.62184,1.33937,0.000194235,0.000194235,0.000194235
4,377.907,0.99275,2.03541,1.33139,0.00515,1,0.61757,0.34489,0.86251,3.61279,1.38625,0.000259651,0.000259651,0.000259651
5,481.994,0.94413,1.90029,1.26442,0.0052,1,0.73684,0.40856,0.94851,3.60748,1.46139,0.000322988,0.000322988,0.000322988
6,552.997,1.08413,1.85108,1.37346,0.0052,1,0.86457,0.57373,0.94946,3.46126,1.49895,0.000384243,0.000384243,0.000384243
7,621.667,0.98366,1.50996,1.25423,0.97152,0.25836,0.8747,0.58398,1.0001,3.16587,1.62791,0.000443419,0.000443419,0.000443419
8,688.481,1.00178,1.50627,1.30864,0.89276,0.53051,0.80317,0.42906,1.24074,2.99909,2.06689,0.000500514,0.000500514,0.000500514
9,755.217,0.93726,1.42213,1.21383,0.64615,0.65502,0.73951,0.3602,1.97322,3.22197,2.78554,0.000555528,0.000555528,0.000555528
10,819.265,0.93253,1.57539,1.25594,0.8217,0.65466,0.76679,0.42164,1.63921,2.95457,2.29836,0.000608462,0.000608462,0.000608462
11,882.712,0.99147,1.51084,1.29752,0.76736,0.48802,0.5753,0.29231,1.47854,3.26845,2.03213,0.000659315,0.000659315,0.000659315
12,946.653,0.97712,1.76075,1.31099,0.66743,0.62659,0.66328,0.37216,1.28949,2.97645,1.84047,0.000708088,0.000708088,0.000708088
13,1010.28,0.97294,1.37931,1.24898,0.80491,0.82282,0.86365,0.55408,1.24295,2.63557,1.78408,0.000754781,0.000754781,0.000754781
14,1076.71,0.91938,1.31668,1.20869,0.5864,0.67907,0.70525,0.41465,1.72908,3.09753,2.40354,0.000799393,0.000799393,0.000799393
15,1144.53,0.86605,1.43269,1.14709,0.73493,0.84078,0.87144,0.50851,1.52728,3.16519,2.38253,0.000841925,0.000841925,0.000841925
16,1209.85,1.03144,1.23983,1.22219,0.84824,0.84088,0.936,0.64548,1.04492,3.11406,1.84207,0.000882376,0.000882376,0.000882376
17,1276.41,0.97881,1.24552,1.25364,0.86172,0.95603,0.938,0.65413,0.99933,3.4011,1.82351,0.000920747,0.000920747,0.000920747
18,1343.25,0.86527,1.26623,1.22405,0.87939,0.88517,0.91168,0.56661,1.08621,2.85914,2.13123,0.000957037,0.000957037,0.000957037
19,1409.16,0.96742,1.25138,1.3014,0.84038,0.91391,0.93979,0.64218,1.03508,2.48532,1.868,0.000991247,0.000991247,0.000991247
20,1474.36,0.84145,1.29974,1.17625,0.8792,0.80631,0.90984,0.68254,0.80361,2.25029,1.37335,0.00102338,0.00102338,0.00102338
21,1540.36,0.8591,1.19686,1.21755,0.71453,0.8162,0.88165,0.61294,1.02365,2.46654,1.74539,0.00101291,0.00101291,0.00101291
22,1606.31,0.93285,1.22075,1.20212,0.92832,0.90873,0.93994,0.6539,0.97113,2.23593,1.84457,0.000992104,0.000992104,0.000992104
23,1668.69,0.93667,1.16482,1.27371,0.88652,0.91337,0.9522,0.6961,0.94824,1.96284,2.01933,0.0009713,0.0009713,0.0009713
24,1731.48,0.938,1.12864,1.20518,0.85421,0.91241,0.93054,0.63173,1.10868,1.94552,2.15237,0.000950495,0.000950495,0.000950495
25,1792.69,0.88861,1.16096,1.16462,0.92327,0.92593,0.97343,0.67449,1.04057,1.85764,1.95032,0.000929691,0.000929691,0.000929691
26,1854.7,0.92494,1.2696,1.27234,0.9548,0.96797,0.9847,0.71386,1.10075,1.87888,1.90124,0.000908886,0.000908886,0.000908886
